Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-381038~XBP1(S) activates chaperone genes	9	3.296703297	1.65E-06	"MYDGF, TATDN2, GOSR2, EDEM1, SRPRA, SRPRB, PREB, HYOU1, ARFGAP1"	189	50	11153	10.62190476	0.001097116	7.48E-04	7.40E-04
REACTOME_PATHWAY	R-HSA-381070~IRE1alpha activates chaperones	9	3.296703297	2.24E-06	"MYDGF, TATDN2, GOSR2, EDEM1, SRPRA, SRPRB, PREB, HYOU1, ARFGAP1"	189	52	11153	10.21336996	0.001493891	7.48E-04	7.40E-04
REACTOME_PATHWAY	R-HSA-446203~Asparagine N-linked glycosylation	19	6.95970696	4.03E-06	"B4GALT3, TMED9, SERPINA1, RPN2, GOSR2, EDEM1, PMM2, EDEM2, ARFGAP1, DHDDS, GMPPB, OS9, DOLPP1, GMPPA, MLEC, STX5, PREB, MGAT1, UGGT1"	189	306	11153	3.664055746	0.00268542	8.96E-04	8.87E-04
REACTOME_PATHWAY	R-HSA-381119~Unfolded Protein Response (UPR)	10	3.663003663	3.06E-05	"MYDGF, TATDN2, CREB3L1, GOSR2, EDEM1, SRPRA, SRPRB, PREB, HYOU1, ARFGAP1"	189	95	11153	6.211640212	0.020208649	0.005103831	0.005050268
REACTOME_PATHWAY	R-HSA-6798695~Neutrophil degranulation	21	7.692307692	1.66E-04	"PDXK, CANT1, SERPINA1, CD93, RNASET2, PLAUR, PRCP, TCIRG1, CKAP4, CNN2, CST3, DIAPH1, STK10, PFKL, IMPDH1, MLEC, CHI3L1, QSOX1, MAN2B1, GUSB, ATP6V0A1"	189	479	11153	2.58710276	0.104542968	0.02208238	0.021850631
REACTOME_PATHWAY	R-HSA-8957275~Post-translational protein phosphorylation	9	3.296703297	4.70E-04	"CST3, IL6, RCN1, SERPINA1, IGFBP4, QSOX1, TIMP1, APOE, CKAP4"	189	108	11153	4.917548501	0.269082805	0.052230243	0.0516821
REACTOME_PATHWAY	R-HSA-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	9	3.296703297	0.001231974	"CST3, IL6, RCN1, SERPINA1, IGFBP4, QSOX1, TIMP1, APOE, CKAP4"	189	125	11153	4.248761905	0.560550837	0.113768228	0.112574258
REACTOME_PATHWAY	R-HSA-1630316~Glycosaminoglycan metabolism	9	3.296703297	0.001364536	"NDST1, B4GALT3, NAGLU, CHPF2, GUSB, B4GALT7, PAPSS2, CHST2, SGSH"	189	127	11153	4.181852268	0.597784535	0.113768228	0.112574258
WIKIPATHWAYS	WP5153:N glycan biosynthesis	7	2.564102564	3.91E-04	"GMPPB, B4GALT3, RPN2, DOLPP1, GMPPA, PMM2, MGAT1"	150	57	8749	7.162923977	0.129393139	0.138537653	0.138537653
REACTOME_PATHWAY	R-HSA-597592~Post-translational protein modification	40	14.65201465	0.002706028	"B4GALT3, SERPINA1, RPN2, GOSR2, FURIN, GMPPB, CST3, OS9, RAB26, GMPPA, STX5, MLEC, QSOX1, MGAT1, APOE, TIMP1, LARGE1, UGGT1, GALNT6, TMED9, IGFBP4, EDEM1, PMM2, EDEM2, PLAUR, DOHH, CKAP4, ARFGAP1, PML, HIPK2, DHDDS, JMJD6, METTL22, RCN1, IL6, TNIP1, DOLPP1, ASB8, PREB, RAB17"	189	1480	11153	1.594880595	0.835914443	0.181506285	0.179601421
REACTOME_PATHWAY	R-HSA-532668~N-glycan trimming in the ER and Calnexin/Calreticulin cycle	5	1.831501832	0.002721234	"OS9, EDEM1, EDEM2, MLEC, UGGT1"	189	35	11153	8.430083144	0.837574678	0.181506285	0.179601421
REACTOME_PATHWAY	R-HSA-168249~Innate Immune System	31	11.35531136	0.00306853	"PDXK, SERPINA1, CANT1, PRCP, TCIRG1, ECSIT, ELK1, CNN2, NCKIPSD, CST3, STK10, MLEC, QSOX1, PI3, GUSB, ATP6V0E2, ATP6V0A1, MAP2K3, DUSP3, CD93, RNASET2, PLAUR, CKAP4, DIAPH1, PFKL, IMPDH1, MAPKAPK2, IRF7, SARM1, CHI3L1, MAN2B1"	189	1057	11153	1.730679321	0.871246592	0.186064512	0.184111811
KEGG_PATHWAY	hsa01100:Metabolic pathways	42	15.38461538	0.001705282	"B4GALT3, PDXK, H6PD, CANT1, RPN2, TCIRG1, PLOD1, AACS, PAPSS2, SRM, DHTKD1, SGSH, GMPPB, NDST1, NAGLU, HLCS, SMPD1, GMPPA, INPP5K, MGAT1, PHGDH, GUSB, ATP6V0E2, LARGE1, ATP6V0A1, PCK2, GALNT6, CHKB, CHPF2, MARS1, ENTPD6, PMM2, SIRT6, COASY, QDPR, PFKL, IMPDH1, DOLPP1, SARM1, B4GALT7, FBP1, MGLL"	150	1564	8865	1.587084399	0.334961482	0.191325361	0.191325361
