Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05012:Parkinson disease	22	6.043956044	1.01E-06	"TRAP1, NDUFB11, PSMD13, ADRM1, HTRA2, ATP5F1D, TUBA4A, ATP5MC1, TXN2, PSMB6, PSMC5, NDUFS7, NDUFS6, PSMD2, PSMD3, UQCRC1, PPIF, CALM3, UBA1, CYC1, NDUFV1, SLC39A4"	205	271	8865	3.510575106	2.87E-04	2.46E-04	2.37E-04
KEGG_PATHWAY	hsa05022:Pathways of neurodegeneration - multiple diseases	30	8.241758242	1.74E-06	"VCP, TOMM40, NDUFB11, PSMD13, HTRA2, ATP5MC1, PSMB6, ACTR1A, FRAT1, PSMD2, PSMD3, DVL1, CYC1, FADD, CAPN1, HRAS, NDUFV1, TRAP1, MAP2K2, ADRM1, WIPI2, ATP5F1D, TUBA4A, PSMC5, NDUFS7, NDUFS6, UQCRC1, PPIF, UBA1, CALM3"	205	483	8865	2.685956673	4.92E-04	2.46E-04	2.37E-04
KEGG_PATHWAY	hsa05010:Alzheimer disease	25	6.868131868	1.02E-05	"NDUFB11, PSMD13, ATP5MC1, PSMB6, FRAT1, PSMD2, PSMD3, DVL1, CYC1, FADD, CAPN1, HRAS, NDUFV1, SLC39A4, MAP2K2, ADRM1, WIPI2, ATP5F1D, TUBA4A, PSMC5, NDUFS7, NDUFS6, UQCRC1, PPIF, CALM3"	205	391	8865	2.764955399	0.00288465	9.63E-04	9.29E-04
KEGG_PATHWAY	hsa05016:Huntington disease	21	5.769230769	3.03E-05	"NDUFB11, PSMD13, ADRM1, CLTB, WIPI2, ATP5F1D, TUBA4A, ATP5MC1, PSMB6, CREB3, PSMC5, ACTR1A, NDUFS7, NDUFS6, PSMD2, PSMD3, AP2S1, UQCRC1, PPIF, CYC1, NDUFV1"	205	311	8865	2.920006274	0.008525241	0.002140415	0.002064782
REACTOME_PATHWAY	R-HSA-1430728~Metabolism	84	23.07692308	2.52E-06	"ACADVL, MTMR12, ACY1, MTMR14, ETFB, TMEM186, TXN2, NUBP2, STK11, NSDHL, AKR7A2, PSMD2, PSMD3, IDH3B, PGLS, ACAA1, SBF1, A4GALT, BCKDHA, ELOVL1, STARD3, SEC13, PCYT1A, ACOT7, TPI1, DCXR, AKR1A1, AIP, NOSIP, GCAT, APRT, DNM2, TMEM177, SULT2B1, PLA2G15, PKM, NDUFS7, TST, NDUFS6, IVD, SDHAF1, HMBS, UQCRC1, PLIN3, ALDOA, SLC25A11, PI4K2A, CES2, GCDH, MVK, NDUFB11, SHMT2, PSMD13, AGPAT2, ATP5MC1, PSMB6, HMGCL, EBP, PRKAR2A, PMVK, HMOX1, ASL, CYC1, NDUFV1, LHPP, GSTM4, MPST, TRAP1, AOC1, SLC52A2, UROS, GSS, ADRM1, B3GALT4, ATP5F1D, CIDEC, PPP1CA, AIMP2, GRHPR, GALE, PSMC5, SLC6A8, NMT1, CALM3"	266	2177	11153	1.617822692	0.002869735	0.002873857	0.002652404
KEGG_PATHWAY	hsa01100:Metabolic pathways	56	15.38461538	5.32E-04	"ACADVL, ACY1, MTMR14, NSDHL, IDH3B, PGLS, ACAA1, A4GALT, GFUS, BCKDHA, ELOVL1, ATP6V0B, PCYT1A, ACOT7, TPI1, DCXR, AKR1A1, GCAT, APRT, SULT2B1, DPM2, PKM, NDUFS7, TST, NDUFS6, IVD, HMBS, UQCRC1, ALDOA, PI4K2A, GCDH, MVK, NDUFB11, SHMT2, AGPAT2, ATP5MC1, HMGCL, EBP, GMDS, PMVK, HMOX1, ASL, CYC1, NDUFV1, GSTM4, MPST, AOC1, UROS, GSS, B3GALT4, DOLK, ATP5F1D, PAFAH2, DHRS4, GRHPR, GALE"	205	1564	8865	1.548375023	0.139866618	0.030125541	0.029061034
KEGG_PATHWAY	hsa05020:Prion disease	17	4.67032967	6.66E-04	"NDUFB11, PSMD13, ADRM1, ATP5F1D, TUBA4A, ATP5MC1, PSMB6, CREB3, PSMC5, NDUFS7, NDUFS6, PSMD2, PSMD3, UQCRC1, PPIF, CYC1, NDUFV1"	205	278	8865	2.6444113	0.17180125	0.031406559	0.030296786
KEGG_PATHWAY	hsa05014:Amyotrophic lateral sclerosis	20	5.494505495	8.89E-04	"VCP, SEC13, TOMM40, NDUFB11, PSMD13, ADRM1, WIPI2, ATP5F1D, TUBA4A, ATP5MC1, PSMB6, PSMC5, ACTR1A, NDUFS7, NDUFS6, PSMD2, PSMD3, UQCRC1, CYC1, NDUFV1"	205	371	8865	2.331207679	0.222627133	0.035960449	0.034689762
UP_KW_BIOLOGICAL_PROCESS	KW-0653~Protein transport	27	7.417582418	4.10E-04	"NAPA, TOMM40, RAB1B, MVP, STX10, PEX26, GGA1, LMAN2, CHMP1A, AP2S1, TIMM17B, AP1S1, AP3S2, ATG7, AP1M2, TNPO3, BCAP31, SEC13, VPS37C, SNF8, YIF1A, SCAMP3, RABEP2, TMEM115, CCDC22, VPS28, COPE"	229	638	11434	2.113030622	0.037790515	0.038924936	0.03523731
REACTOME_PATHWAY	R-HSA-8854050~FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	7	1.923076923	4.35E-04	"PSMB6, PSMC5, PSMD13, PSMD2, ADRM1, PSMD3, FBXL18"	266	42	11153	6.988095238	0.391428475	0.077378113	0.071415526
