Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa04910:Insulin signaling pathway	17	3.195488722	3.29E-06	"SHC1, EXOC7, PDPK1, INSR, INPPL1, PIK3CD, TSC1, PIK3R2, ACACB, HK1, GYS1, G6PC3, FASN, MKNK2, FLOT2, PRKACA, MAPK3"	266	138	8865	4.105508336	9.60E-04	9.61E-04	9.44E-04
KEGG_PATHWAY	hsa04152:AMPK signaling pathway	15	2.819548872	1.54E-05	"PFKFB3, STRADA, PDPK1, INSR, PIK3CD, TSC1, PIK3R2, PPP2R5D, EEF2, ACACB, RAB11B, GYS1, G6PC3, FASN, RAB8A"	266	122	8865	4.097590287	0.004478473	0.002244248	0.002205819
WIKIPATHWAYS	WP3915:Angiopoietin like protein 8 regulatory pathway	16	3.007518797	1.63E-05	"SHC1, EXOC7, PDPK1, INSR, MINK1, PIK3CD, NR1H3, TSC1, PIK3R2, SREBF2, GYS1, RXRA, FASN, RPS6KA2, FLOT2, MAPK3"	277	132	8749	3.828465157	0.0084963	0.00853253	0.00853253
REACTOME_PATHWAY	R-HSA-556833~Metabolism of lipids	48	9.022556391	8.24E-06	"ABHD4, INPPL1, PIK3CD, GBA1, PIK3R2, PLA2G6, MED16, AGPAT1, MED15, ACACB, PLD3, PIK3R5, MED12, RXRB, SMPD4, RXRA, SIN3B, PSAP, CPNE1, SCAP, PIP4K2B, PIP5K1C, TBL1X, GGT1, CDIPT, PRKACA, MORC2, ACADS, CTSA, MBOAT7, NR1H3, MED9, SREBF2, NCOR2, RUFY1, FIG4, MED22, CARM1, FASN, JMJD7-PLA2G4B, PI4KA, PRKD2, PNPLA6, PI4KB, DHCR7, SLC27A3, SEC24C, CSNK1G2"	359	755	11153	1.975111144	0.010273485	0.010326579	0.010268889
WIKIPATHWAYS	WP1403:AMP activated protein kinase signaling	11	2.067669173	4.20E-05	"GYS1, PFKFB3, STRADA, FASN, INSR, PIK3CD, TSC1, PIK3R2, EEF2, ACACB, SLC2A4RG"	277	67	8749	5.185570343	0.021710714	0.010974699	0.010974699
UP_KW_BIOLOGICAL_PROCESS	KW-0945~Host-virus interaction	39	7.330827068	1.55E-04	"CUL7, SMARCB1, CD151, ITGB5, SHC1, CD81, USP11, AKAP8L, UBR4, CHD3, SUPT6H, NXF1, RXRA, RNF216, KAT5, POLR2A, GNA11, HSF1, DAG1, ZBED1, CDK5RAP3, MAPK3, BRD4, NUP214, DAXX, GBF1, SGTA, WWP2, RNF40, PDIA4, TNFRSF1A, HCFC1, DDB1, PACS2, CARM1, PI4KB, ATP6V0C, NOP53, NECTIN1"	340	689	11434	1.903551609	0.013668975	0.013916822	0.012989034
UP_KW_BIOLOGICAL_PROCESS	KW-0653~Protein transport	36	6.766917293	3.17E-04	"IPO13, STXBP2, RRBP1, PIK3R2, AP2A2, NXF1, VPS51, VPS52, VPS11, TOM1, ERC1, TBC1D17, AP5S1, SIL1, RAB8A, VPS16, NUP214, EXOC7, ATP13A1, PRAF2, SEC16A, GBF1, AP1B1, AP3D1, CTNS, ACTN4, ARFGAP2, RAB11B, RUFY1, TBC1D5, HGS, RAB35, PLEKHM1, EXOC3, ATG4B, SEC24C"	340	638	11434	1.897584363	0.027838895	0.014273224	0.013321675
KEGG_PATHWAY	hsa04140:Autophagy - animal	16	3.007518797	1.57E-04	"PDPK1, DAPK3, PIK3CD, TSC1, PIK3R2, ATG13, RRAGC, VPS11, PLEKHM1, ATG4B, PRKACA, CTSD, RAB8A, CTSB, VPS16, MAPK3"	266	169	8865	3.155225341	0.044732282	0.015253353	0.014992166
UP_KW_BIOLOGICAL_PROCESS	KW-0072~Autophagy	15	2.819548872	7.10E-04	"USP13, RETREG3, TFEB, CLEC16A, ATG13, HDAC6, PINK1, TBC1D5, VPS11, PLEKHM1, ATG4B, TBC1D17, TECPR2, RAB8A, VPS16"	340	175	11434	2.882521008	0.061254684	0.021299536	0.019879567
KEGG_PATHWAY	hsa00562:Inositol phosphate metabolism	10	1.879699248	3.03E-04	"FIG4, ISYNA1, ITPK1, PI4KA, INPPL1, PIK3CD, PIP4K2B, PI4KB, PIP5K1C, CDIPT"	266	73	8865	4.565351736	0.084645412	0.022107592	0.021729037
